,RLB-67107,RLB-67864,RLB-66928,RLB-68725,RLB-68723,RLB-68531,RLB-68532,RLB-68742,RLB-69490,RLB-69368,RLB-68888,RLB-96407,RLB-64875,RLB-69422,RLB-67013,RLB-67768
2083,2.187008037166824,0.5351752057950545,0.6164500759219722,0.7491624373575547,0.7385695069669297,0.5105398616674004,2.3585374519585036,1.3250658947794303,1.177785305074483,3.523965205502368,1.1766099228722697,0.6270784567003941,1.7613373700138057,0.3946780718888044,28.423783792775698,1.4606501459513057
2084,2.721068417886837,0.639237051366314,0.7363153684623546,0.8948329112881889,0.8821802444327201,0.6658436978770435,3.0004033867560644,1.5827175965420948,1.5724998381839836,5.074622842654927,1.4053951856529865,0.7490103788365807,2.1038196364053756,0.47142103031162674,33.95063064137092,1.7446654521085012
2085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,6.264785427227845,1.4717318159364001,1.6952377087854238,2.060196702733276,2.031066144159057,1.5524635760340566,6.907905471833742,3.643931210643434,4.206554968035462,17.257992715074842,3.235677287898742,1.724465755926084,4.843677767537967,1.0853646976942124,78.16540543013319,4.016787901366092
2096,4.682768905200619,1.100082367467614,1.267147378284056,1.5399450101238652,1.5181706532098025,1.1604273194598018,5.1634848981383605,2.723746561491056,3.1442936124709564,12.899913746621621,2.418587063681892,1.2889946054397012,3.620526816139496,0.8112827033269883,58.42666668515015,3.0024475222332447
2097,2.4046651134813803,0.5649071616725542,0.6506973023620779,0.7907825727663031,0.7796011462428656,0.5958951099928665,2.651519272016976,1.3986806667116127,1.6146372604580466,6.14651462753012,1.2419771408096107,0.661916148739301,1.8591894461256728,0.41660463143818,30.002882892374174,1.5417973762819248
2098,1.518735861146144,0.35678347053003634,0.4109667172813148,0.49944162490503646,0.4923796713112864,0.37635480631128637,1.6746437507475735,0.8833772631862868,1.01977090134193,2.987341616844509,0.7844066152481798,0.4180523044669294,1.174224913342537,0.2631187145925363,18.9491891951838,0.9737667639675371
2099,0.885929252335259,0.20812369114252316,0.23973058508076925,0.291340947861274,0.2872214749315865,0.2195403036815858,0.9768755212694271,0.5153034035253389,0.46900132199141736,0.508304489879996,0.45757052556144256,0.2438638442723778,0.6849645327831532,0.1534859168456476,11.053693697190655,0.568030612314402
2100,0.6328066088108905,0.14865977938751448,0.17123613220054706,0.20810067704376425,0.20515819637970176,0.15681450262970195,0.6977682294781525,0.3680738596609512,0.2912661665038853,0.0,0.3268360896867401,0.17418846019455314,0.4892603805593883,0.10963279774688962,7.895495497993214,0.40573615165313864
2101,0.0,0.029731955877501045,0.03424722644010728,0.041620135408750265,0.0410316392759378,0.0,0.0,0.07361477193218567,0.0,0.0,0.0549531107897461,0.03483769203890846,0.09785207611187158,0.02192655954937656,0.0,0.08114723033062268
2102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2106,0.0,0.012929949356012039,0.0342472264401088,0.011315274463266455,0.0,0.0,0.0,0.04170958462388537,0.0,0.0,0.0,0.0,0.0,0.004499866542748281,0.0,0.0
2107,0.15012115444644872,0.17839173526501947,0.20548335864065892,0.24972081245252006,0.23582302122798868,0.0,0.12497918842852238,0.4416886315931467,0.0,0.0,0.2749066158419188,0.1632919797918686,0.5509932993682838,0.1315593572962691,3.5907682595664148,0.4868833819837722
2108,1.1300022845202164,0.3716494484687875,0.4280903305013692,0.5202516926094125,0.5128954909492562,0.24380094457992663,1.1980327476077726,0.9201846491523813,0.43227536511026404,0.21536467512637789,0.8030656157353236,0.4354711504863844,1.223150951398475,0.274081994367225,15.978395355735861,1.0143403791328502
2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
