;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-09-06 21:00:00;1.0231684577953757;180458.64610334122;0.0;0.0;0.0;0.0;0.0;0.0;4845.53398316498;0.0
2023-09-06 22:00:00;0.0;124624.37506201351;0.0;0.0;0.0;0.0;0.0;0.0;4273.919266457677;0.0
2023-09-06 23:00:00;0.0;124624.37506201351;0.0;0.0;0.0;0.0;0.0;0.0;2189.7240686172045;0.0
2023-09-07 00:00:00;0.9224935633408406;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;2198.518141181932;0.0
2023-09-07 01:00:00;0.0;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;2207.3122137466607;0.0
2023-09-07 02:00:00;0.0;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;2216.1062863113875;0.0
2023-09-07 03:00:00;0.9275832649901186;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;4207.963722222218;0.0
2023-09-07 04:00:00;0.0;116407.00663704549;0.0;0.0;0.0;0.0;0.0;0.0;4326.683701846043;0.0
2023-09-07 05:00:00;0.9366984482230633;109862.90248259988;0.0;0.0;0.0;0.0;0.0;0.0;4581.7118062231475;0.0
2023-09-07 06:00:00;8.094687973073684;159792.58449216213;0.0;0.0;0.0;0.0;0.0;0.0;50317.206643727426;0.0
2023-09-07 07:00:00;16.21550493593038;196521.63213476783;0.0;0.0;0.0;0.0;0.0;0.0;50396.353296809975;0.0
2023-09-07 08:00:00;11.940125152434346;194239.2899741784;0.0;0.0;0.0;0.0;0.0;0.0;50422.73551450416;10447.270973688093
2023-09-07 09:00:00;1.5949823905744989;174406.88600612816;0.0;0.0;0.0;0.0;0.0;0.0;50444.72069591598;16285.795946104365
2023-09-07 10:00:00;13.13652232442868;168504.18041767084;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;38083.52422294407
2023-09-07 11:00:00;13.815756985479359;187787.71858243176;0.0;0.0;0.0;0.0;0.0;0.0;50449.11773219834;47031.055235578606
2023-09-07 12:00:00;1.5958681722746868;174408.7694494363;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;49608.210691770764
2023-09-07 13:00:00;12.382179599839676;174411.59461439852;0.0;0.0;0.0;0.0;0.0;0.0;50466.7058773278;42433.96375029929
2023-09-07 14:00:00;1.5958681722746868;174408.7694494363;0.0;0.0;0.0;0.0;0.0;0.0;50453.51476848071;32747.850781259585
2023-09-07 15:00:00;13.091176697918664;168506.063860979;0.0;0.0;0.0;0.0;0.0;0.0;50462.30884104544;19354.315374135356
2023-09-07 16:00:00;12.017252707732714;185389.94019976282;0.0;0.0;0.0;0.0;0.0;0.0;50457.91180476307;3534.606916642362
2023-09-07 17:00:00;16.261045663285202;197199.11826329376;0.0;0.0;0.0;0.0;0.0;0.0;50457.91180476307;0.0
2023-09-07 18:00:00;2.3074437376203796;189172.12547215808;0.0;0.0;0.0;0.0;0.0;0.0;4990.636180482987;0.0
2023-09-07 19:00:00;12.940072725336906;195074.83106061537;0.0;0.0;0.0;0.0;0.0;0.0;4981.842107918259;0.0
2023-09-07 20:00:00;7.18787679427321;195064.47212242056;0.0;0.0;0.0;0.0;0.0;0.0;4933.474708812257;0.0
2023-09-07 21:00:00;1.0231684577953757;180458.64610334122;0.0;0.0;0.0;0.0;0.0;0.0;4845.53398316498;0.0
2023-09-07 22:00:00;0.0;124624.37506201351;0.0;0.0;0.0;0.0;0.0;0.0;4273.919266457677;0.0
2023-09-07 23:00:00;0.0;124624.37506201351;0.0;0.0;0.0;0.0;0.0;0.0;2189.7240686172045;0.0
2023-09-08 00:00:00;0.9224935633408406;95899.85260498896;0.0;0.0;0.0;0.0;0.0;0.0;2198.518141181932;0.0
2023-09-08 01:00:00;0.0;95899.85260498896;0.0;0.0;0.0;0.0;0.0;0.0;2207.3122137466607;0.0
2023-09-08 02:00:00;0.0;95899.85260498896;0.0;0.0;0.0;0.0;0.0;0.0;2216.1062863113875;0.0
2023-09-08 03:00:00;0.9275832649901186;95899.85260498896;0.0;0.0;0.0;0.0;0.0;0.0;4207.963722222218;0.0
2023-09-08 04:00:00;0.0;102443.95675943459;0.0;0.0;0.0;0.0;0.0;0.0;4326.683701846043;0.0
2023-09-08 05:00:00;0.9366984482230633;95899.85260498896;0.0;0.0;0.0;0.0;0.0;0.0;4581.7118062231475;0.0
2023-09-08 06:00:00;8.427565597339882;141640.61965126795;0.0;0.0;0.0;0.0;0.0;0.0;50317.206643727426;0.0
2023-09-08 07:00:00;4.311263371673225;147864.57776375447;0.0;0.0;0.0;0.0;0.0;0.0;50396.353296809975;0.0
2023-09-08 08:00:00;7.180955182135981;165915.97399685293;0.0;0.0;0.0;0.0;0.0;0.0;50422.73551450416;14348.681779320068
2023-09-08 09:00:00;5.4753904338181005;156254.92116523397;0.0;0.0;0.0;0.0;0.0;0.0;50444.72069591598;17999.354588476628
