;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-03-19 05:00:00;0.0;109609.63885821385;0.0;1.50078514365673;0.0;0.0;0.0;0.0;4581.7118062231475;0.0
2023-03-19 06:00:00;3.7922108254843767;159635.2819070821;2.7132287982225165;2.534914031765826;0.0;0.0;0.0;0.0;50317.206643727426;0.0
2023-03-19 07:00:00;12.14385097973242;196344.36595962557;3.9016928661440193;2.547686885364738;0.0;0.0;0.0;0.0;50396.353296809975;0.0
2023-03-19 08:00:00;9.730535522226411;194046.25438471237;3.806767994193464;2.5519445032310415;0.0;0.0;0.0;0.0;50422.73551450416;0.0
2023-03-19 09:00:00;0.0;174153.62238174214;0.0;2.5554925181196277;0.0;0.0;0.0;0.0;50444.72069591598;0.0
2023-03-19 10:00:00;11.40038341613203;168321.4642561943;4.5686914803440235;2.556911724075063;0.0;0.0;0.0;0.0;50453.51476848071;7141.007980493417
2023-03-19 11:00:00;8.99386567890424;187534.45495804574;4.530158720990666;2.5562021210973453;0.0;0.0;0.0;0.0;50449.11773219834;3427.9067449748254
2023-03-19 12:00:00;1.9840415045539537;174210.16931915877;0.0;2.556911724075063;0.0;0.0;0.0;0.0;50453.51476848071;1274.8357728417704
2023-03-19 13:00:00;8.48551054361958;174158.3309900125;4.454880595831885;2.559040533008215;0.0;0.0;0.0;0.0;50466.7058773278;0.0
2023-03-19 14:00:00;2.1646393205307266;174214.31455250108;0.0;2.556911724075063;0.0;0.0;0.0;0.0;50453.51476848071;0.0
2023-03-19 15:00:00;8.69162216372856;168252.80023659297;4.55445842668051;2.5583309300304973;0.0;0.0;0.0;0.0;50462.30884104544;0.0
2023-03-19 16:00:00;10.923875785409356;185224.8219720036;3.795080522688132;2.55762132705278;0.0;0.0;0.0;0.0;50457.91180476307;0.0
2023-03-19 17:00:00;10.62111666143465;197021.09061488172;3.922696353046188;2.55762132705278;0.0;0.0;0.0;0.0;50457.91180476307;0.0
2023-03-19 18:00:00;4.851116160266809;188918.86184777206;2.6653956064442315;0.0;0.0;0.0;0.0;0.0;4990.636180482987;0.0
2023-03-19 19:00:00;4.860461566794599;194821.56743622938;2.669377897003985;1.6703660632716122;0.0;0.0;0.0;0.0;4981.842107918259;0.0
2023-03-19 20:00:00;4.860461566794599;194811.20849803457;2.666379994501973;0.0;0.0;0.0;0.0;0.0;4933.474708812257;0.0
2023-03-19 21:00:00;0.0;180205.3824789552;0.0;1.6393280290262568;0.0;0.0;0.0;0.0;4845.53398316498;0.0
2023-03-19 22:00:00;0.0;124371.11143762749;0.0;0.0;0.0;0.0;0.0;0.0;4273.919266457677;0.0
2023-03-19 23:00:00;0.0;124371.11143762749;0.0;0.0;0.0;0.0;0.0;0.0;2189.7240686172045;0.0
2023-03-20 00:00:00;0.0;109609.63885821385;0.0;1.478025972613973;0.0;0.0;0.0;0.0;2198.518141181932;0.0
2023-03-20 01:00:00;0.0;109609.63885821385;0.0;0.0;0.0;0.0;0.0;0.0;2207.3122137466607;0.0
2023-03-20 02:00:00;0.0;109609.63885821385;0.0;0.0;0.0;0.0;0.0;0.0;2216.1062863113875;0.0
2023-03-20 03:00:00;0.0;109609.63885821385;0.0;1.4861807300339;0.0;0.0;0.0;0.0;4207.963722222218;0.0
2023-03-20 04:00:00;0.0;116153.74301265947;0.0;0.0;0.0;0.0;0.0;0.0;4326.683701846043;0.0
2023-03-20 05:00:00;0.0;109609.63885821385;0.0;1.50078514365673;0.0;0.0;0.0;0.0;4581.7118062231475;0.0
