;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-11-24 09:00:00;293.893776415582;202153.88461277256;0.0;0.0;743204.9952567667;0.0;944903.3989258646;393908.206462543;50444.72069591598;0.0
2023-11-24 10:00:00;256.94121219236035;193119.0391638694;0.0;0.0;584837.2306689473;0.0;856827.1245368719;393908.206462543;50453.51476848071;0.0
2023-11-24 11:00:00;226.84976028501586;190311.88031948032;0.0;0.0;439771.3847231659;0.0;764143.8568534397;393908.206462543;50449.11773219834;0.0
2023-11-24 12:00:00;192.26325014016118;195709.14129517745;0.0;0.0;310801.3297224822;0.0;651180.2400705889;393908.206462543;50453.51476848071;0.0
2023-11-24 13:00:00;181.87525366422642;187852.88310942543;0.0;0.0;241492.66653718986;0.0;620257.0636179878;393908.206462543;50466.7058773278;0.0
2023-11-24 14:00:00;179.9562265423605;187190.01450026568;0.0;0.0;235740.02545082878;0.0;627034.9771119056;393908.206462543;50453.51476848071;0.0
2023-11-24 15:00:00;191.84376951825033;185893.8808700008;0.0;0.0;288543.3126596174;0.0;653459.5208239856;393908.206462543;50462.30884104544;0.0
2023-11-24 16:00:00;206.27054647760357;193401.7679285151;0.0;0.0;354046.2913498947;0.0;684761.599096935;393908.206462543;50457.91180476307;0.0
2023-11-24 17:00:00;224.26565813699784;203061.76681191806;0.0;0.0;423078.39745935577;0.0;742813.752733766;393908.206462543;50457.91180476307;0.0
2023-11-24 18:00:00;240.9747545172682;207475.8465244345;0.0;0.0;512070.91358527465;0.0;820225.1530645518;393908.206462543;4990.636180482987;0.0
2023-11-24 19:00:00;254.55635490528306;206703.2461833948;0.0;0.0;571365.0427002204;0.0;874023.5891214344;393908.206462543;4981.842107918259;0.0
2023-11-24 20:00:00;268.1152500108925;209361.19537254647;0.0;0.0;629959.7956581142;0.0;915413.8522664778;393908.206462543;4933.474708812257;0.0
2023-11-24 21:00:00;282.4175772727408;211631.34964995057;0.0;0.0;678803.4272672241;0.0;957860.23415553;393908.206462543;4845.53398316498;0.0
2023-11-24 22:00:00;290.6439001525256;153157.74245852223;0.0;0.0;720842.1868645295;0.0;987583.5347841862;393908.206462543;4273.919266457677;0.0
2023-11-24 23:00:00;296.3690179223589;154422.10510339393;0.0;0.0;747792.1247861774;0.0;999281.5055081305;393908.206462543;2189.7240686172045;0.0
2023-11-25 00:00:00;306.8187650155212;133506.90593116623;0.0;0.0;805548.0707350681;0.0;1005200.0737162346;393908.206462543;2198.518141181932;0.0
2023-11-25 01:00:00;306.67595345721753;133664.947349835;0.0;0.0;809490.6937191384;0.0;1005602.8184641879;393908.206462543;2207.3122137466607;0.0
2023-11-25 02:00:00;305.06944992990225;133325.59548584692;0.0;0.0;802163.9084780139;0.0;1000794.8046396308;393908.206462543;2216.1062863113875;0.0
2023-11-25 03:00:00;302.24935691324384;132505.9832718904;0.0;0.0;784407.8834477765;0.0;991662.3146190038;393908.206462543;4207.963722222218;0.0
