,RLB-67107,RLB-67864,RLB-66928,RLB-68725,RLB-68723,RLB-68531,RLB-68532,RLB-68742,RLB-69490,RLB-69368,RLB-68888,RLB-96407,RLB-64875,RLB-69422,RLB-67013,RLB-67768
1306,28.17045589705312,12.525358104114698,20.246602906569272,16.937627071854934,20.879182215922047,13.278262547951323,23.71002022496419,26.852929435625235,22.03897451689755,52.828163787687195,19.26663582547699,12.068307408405147,38.70604518057927,12.375024737775703,342.6628491683034,28.57002178184199
1307,21.484838441904518,10.156413962031918,17.557385709598226,14.35916755306338,18.044867224751272,10.731225030401795,17.68357000970916,22.64769003402433,17.22625585368535,36.512903991735655,14.94995159157514,9.562323583517427,31.08773619461633,10.151587154819099,265.0236371780359,23.34509050242207
1308,20.803250065824308,9.588061776446484,16.509875043190696,13.82788997868693,16.878883356511054,9.709821251916335,18.329986828983937,21.893593002817855,16.52355793840156,36.25198030254198,13.701756647200236,8.772231060718507,28.209872444475856,9.040388274065561,260.83550430603094,21.935027040543734
1309,10.811151847866247,6.764078901584231,12.95819921242504,10.18712095546529,12.763291825894383,6.559913231402592,8.359178999158496,15.48182877940405,9.538982569706132,10.194013432640698,7.820128922178643,5.488210704145997,18.502865708914264,6.460704412300816,138.2250810319907,14.613428348413349
1310,6.502328823425749,5.566422758495391,11.055859357371213,8.329524942529678,10.34884827034433,5.088103453587071,4.438778916939162,12.139063877653475,6.434241466419975,0.0,5.130718743986945,3.8301432204352603,13.759817488132104,4.973067967236231,82.63819190896396,11.158408379261092
1311,3.8123345734121394,4.655429787957692,9.798694502043348,7.055624409202719,8.800712768840967,4.273791848395558,1.8995233795926325,9.787393530784145,4.490993221875484,0.0,3.553207282770338,2.809533108574935,11.039438295849017,4.079722274538188,48.174361616145816,8.98678374664503
1312,2.463392891462252,4.098674755051514,9.102351136161364,6.355333362676465,7.8353048590950785,3.901540419390134,0.48437904422555583,8.47158318529054,3.5250757421674788,0.0,2.8794095456328943,2.3688404603990056,9.921810912298678,3.738004088769318,31.411710389002693,8.056101913704653
1313,2.228573441961431,4.01864141588597,8.919777872739404,6.036013693915694,7.665622914150183,3.899355084706709,0.0,8.124189491751313,3.416435095324181,0.0,2.9260088998997524,2.420102801795816,10.054338895695052,3.8545109380426585,27.49736155158421,7.811025571393518
1314,5.02361987803696,4.671080509787658,9.527573842020415,6.783078591554571,8.532647458601044,4.638503038909955,2.7367984680252264,9.556353252374974,5.281035819873622,0.0,4.500538632192707,3.3069865879145945,12.480805725056678,4.518516957419576,60.918242851424495,9.49020746896314
1315,9.136920941899472,5.648349595663079,10.557756498419126,8.020092891543914,9.866438628250092,5.7276245140729,6.974757846034772,11.791814719043527,8.050214538817265,6.2253070085542275,6.752131937610393,4.55032177341191,15.932703436382173,5.403086224003077,111.06469735960663,12.072707727509668
1316,11.679510447853652,6.273634291488415,11.209511455694738,8.776221976318105,10.731907416490518,6.438739762277415,9.484479561202694,13.154156864693359,9.76901482670431,13.855921618764288,8.189185664155113,5.362885591611397,18.185894955907717,6.023335162613082,141.69960496411053,13.67590691674006
1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
