;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
131987559;10.316666666666668;2;services;Before 1930;131987559;Bd131987559;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;3415.025720214844;662.04052734375;9;2987.390372509075;529.8715871332247;122.84857798891184;-25.67148555847155;0.0;855642.3946138828;0.0;0.0;50370786.20177597;0.0;0.0;811356.2369130937;0.0;0.0;39150307.74507825;0.0;0.0;899866.7018404454;0.0;0.0;23808284.598554954;0.0;0.0;862992.4956602345;0.0;0.0;3609668.740609487;-923.165473838942;0.0;905394.7402437656;0.0;0.0;177522.00879572416;0.0;0.0;9236308.824985873;0.0;0.0;1847106.3885473695;-16613852.625073483;0.0;12836056.091800738;0.0;0.0;2058856.3399533913;-23595301.27771327;0.0;12607786.459621686;0.0;0.0;2422414.393276431;-23060289.4459194;0.0;4075987.6218200247;0.0;0.0;1575997.75275729;-6447176.0379791185;0.0;905394.7402437656;0.0;0.0;5770216.115447286;0.0;0.0;874048.572466875;0.0;0.0;28946255.542418275;0.0;0.0;888810.6250338047;0.0;0.0;47885892.90836483;0.0;0.0;45759645.50524419;0.0;0.0;207623308.73557925;-69717542.5521591
131987574;10.5;3;residential;1945-1960;131987574;Bd131987574;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;2465.6568603515625;704.473388671875;9;1349.0088179794218;463.80731500782434;79.46366482501519;-29.351884792776453;0.0;364705.87331542966;0.0;0.0;28346147.81542043;0.0;0.0;329411.75654296874;0.0;0.0;21428433.0263673;0.0;0.0;364705.87331542966;0.0;0.0;12110578.044497285;0.0;0.0;352941.1677246094;0.0;0.0;2211327.0050308453;0.0;0.0;364705.87331542966;0.0;0.0;1098681.4131531515;0.0;0.0;4685417.781874729;0.0;0.0;1063240.0772449854;-11477670.67107562;0.0;7036950.631774437;0.0;0.0;1098681.4131531515;-17158501.93368557;0.0;6499237.814079871;0.0;0.0;1098681.4131531515;-16295152.378911188;0.0;2123253.4076362234;0.0;0.0;1063240.0772449854;-4237514.974524143;0.0;364705.87331542966;0.0;0.0;2821233.0570122525;0.0;0.0;352941.1677246094;0.0;0.0;15889905.345083239;0.0;0.0;364705.87331542966;0.0;0.0;26684452.909976255;0.0;0.0;23203683.093934603;0.0;0.0;114914601.59733702;-49168839.95819652
131987578;7.716666666666668;2;services;1945-1960;131987578;Bd131987578;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;4247.584155273438;1100.8857421875;14;2099.8097730669438;382.3024816101997;91.28760866519076;-27.240248468491668;0.0;1422820.0143893908;0.0;0.0;48282716.39752694;0.0;0.0;1349177.9976616877;0.0;0.0;38651320.97607522;0.0;0.0;1496359.1819675157;0.0;0.0;25763547.12196861;0.0;0.0;1435042.259269219;0.0;0.0;4518451.166797156;0.0;0.0;1505551.5779147814;0.0;0.0;295195.5965472536;0.0;0.0;9636163.08440815;0.0;0.0;3071493.3655404723;-16424035.111268751;0.0;14017204.613171766;0.0;0.0;3423605.498837029;-24986183.253762417;0.0;13890503.549649285;0.0;0.0;4028154.4060868775;-24609195.25771979;0.0;4117662.226425849;0.0;0.0;2620675.599258569;-5339307.77697504;0.0;1505551.5779147814;0.0;0.0;6969530.879786545;0.0;0.0;1453427.05116375;0.0;0.0;28518880.190829024;0.0;0.0;1477974.3900729846;0.0;0.0;46175530.33866639;0.0;0.0;53307437.52400915;0.0;0.0;212319101.53792006;-71358721.399726
131987586;5.975;1;residential;Before 1930;131987586;Bd131987586;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;2246.017962646484;375.902587890625;5;2797.590394288744;414.1002428278436;123.09676206167646;-25.350236510349642;0.0;194604.76975097656;0.0;0.0;42795661.62037793;0.0;0.0;175772.05009765623;0.0;0.0;32699675.05283974;0.0;0.0;194604.76975097656;0.0;0.0;18922946.36977768;0.0;0.0;188327.19653320312;0.0;0.0;2709703.8133670627;0.0;0.0;194604.76975097656;0.0;0.0;593611.344624592;0.0;0.0;4994404.682186348;0.0;0.0;574462.5915721857;-12103305.948076071;0.0;7411644.857379989;0.0;0.0;593611.344624592;-17756316.518930413;0.0;6862175.151355524;0.0;0.0;593611.344624592;-16544020.17794609;0.0;2190250.881125356;0.0;0.0;574462.5915721857;-4939160.419535865;0.0;194604.76975097656;0.0;0.0;4359184.967344169;0.0;0.0;188327.19653320312;0.0;0.0;24379863.64655823;0.0;0.0;194604.76975097656;0.0;0.0;40417304.56679276;0.0;0.0;22983925.86396616;0.0;0.0;169214099.2540757;-51342803.06448844
131987588;12.375;3;residential;1945-1960;131987588;Bd131987588;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;4286.5235595703125;1039.1572265625;13;1793.1145398741292;553.5828640914139;111.98869529196608;-44.51403825799597;0.0;537971.6961914062;0.0;0.0;41383889.6886595;0.0;0.0;485909.919140625;0.0;0.0;31641638.45048331;0.0;0.0;537971.6961914062;0.0;0.0;18547515.420513265;0.0;0.0;520617.7705078125;0.0;0.0;3361359.9319938924;0.0;0.0;537971.6961914062;0.0;0.0;1610376.4705431531;0.0;0.0;6163597.388469747;0.0;0.0;1558428.842461116;-15652836.117178682;0.0;9644801.971865172;0.0;0.0;1610376.4705431531;-24177619.721375108;0.0;8793048.798950762;0.0;0.0;1610376.4705431531;-22900535.8248846;0.0;2687959.026762517;0.0;0.0;1558428.842461116;-5356933.066933566;0.0;537971.6961914062;0.0;0.0;4557832.340573174;0.0;0.0;520617.7705078125;0.0;0.0;23580002.317435194;0.0;0.0;537971.6961914062;0.0;0.0;39026666.745036535;0.0;0.0;31506411.12716148;0.0;0.0;170046891.99124655;-68087924.73037197
131987590;3.82;1;worship;Before 1930;131987590;Bd131987590;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;744.44115234375;194.8798828125;3;1381.442957402804;192.9464822574821;53.028759669818676;-24.352255222902862;0.0;2211348.801445313;0.0;0.0;44248396.83536597;0.0;0.0;1997347.3045312501;0.0;0.0;36900779.532883346;0.0;0.0;2211348.801445313;0.0;0.0;27621876.493349306;0.0;0.0;2140014.969140625;0.0;0.0;5465918.260595245;-7153.67227431852;0.0;2211348.801445313;0.0;0.0;436742.1608373573;0.0;0.0;12294594.921989862;0.0;0.0;6420715.035192331;-20085425.249850452;0.0;16739116.62098716;0.0;0.0;7941054.309098022;-28633866.24389794;0.0;17211503.20343402;0.0;0.0;8720288.343903448;-29592164.15447217;0.0;6042739.9790288005;0.0;0.0;5260546.895182532;-7785708.049448643;0.0;2211348.801445313;0.0;0.0;8905466.973589715;0.0;0.0;2140014.969140625;0.0;0.0;27823971.008983362;0.0;0.0;2211348.801445313;0.0;0.0;42971605.30381281;0.0;0.0;69622075.97547892;0.0;0.0;222717361.15279344;-86104317.36994353
131987608;9.35;2;shop;Before 1930;131987608;Bd131987608;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;19339.70115966797;4136.83447265625;54;13488.563811626937;1677.681631764427;541.2522298093892;-128.4462207107976;0.0;5346577.449732117;0.0;0.0;248750916.61096132;0.0;0.0;5069850.4273349065;0.0;0.0;196243865.03739414;0.0;0.0;5622917.992505555;0.0;0.0;124830931.83573484;0.0;0.0;5392505.380319766;0.0;0.0;20199102.4470675;-3780.306877285106;0.0;5657460.560352234;0.0;0.0;1109266.1782924768;0.0;0.0;46731829.04552823;0.0;0.0;11541851.393092792;-82507417.51785107;0.0;66675562.51912626;0.0;0.0;12864994.708917152;-121243464.78228872;0.0;65040711.02337049;0.0;0.0;15136727.972487649;-117307274.52642427;0.0;19737470.34092501;0.0;0.0;9848906.679580588;-29136655.31789779;0.0;5657460.560352234;0.0;0.0;32870797.762243807;0.0;0.0;5461590.516013125;0.0;0.0;146262645.00953823;0.0;0.0;5553832.856812196;0.0;0.0;237575905.16455;0.0;0.0;241947768.67237213;0.0;0.0;1057235910.7998605;-350198592.4513391
131987615;12.7;3;medical;1945-1960;131987615;Bd131987615;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;11823.262817382812;2792.896728515625;36;4517.795412313814;1287.8027359353066;218.24009686155347;-113.23715201737414;0.0;17035995.280095704;0.0;0.0;336235433.33386546;0.0;0.0;15387350.575570313;0.0;0.0;310095623.2047725;0.0;0.0;17035995.280095704;0.0;0.0;297858614.8861937;0.0;0.0;16486447.045253906;0.0;0.0;232050107.80369237;-28317.665001106598;0.0;17035995.280095704;0.0;0.0;237466643.8313246;0.0;0.0;53577023.168639705;0.0;0.0;214479763.5433488;-73168384.66609168;0.0;67879219.2298693;0.0;0.0;247844707.99319294;-100507218.55052602;0.0;68497010.85009947;0.0;0.0;256460981.22628486;-101477247.15861283;0.0;33150519.342940398;0.0;0.0;225478422.70106867;-32645117.60003541;0.0;17035995.280095704;0.0;0.0;254945006.195702;0.0;0.0;16486447.045253906;0.0;0.0;300435060.4518765;0.0;0.0;17035995.280095704;0.0;0.0;344452411.1820716;0.0;0.0;356643993.65810555;0.0;0.0;3257802776.3533945;-307826285.6402671
131987616;10.34;2;university;Before 1930;131987616;Bd131987616;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;23196.080971679687;4486.66943359375;58;13985.846088926932;1616.6326179971581;565.0707604042321;-139.47775944425703;0.0;5798715.36475857;0.0;0.0;264076412.6417071;0.0;0.0;5498586.683989343;0.0;0.0;208773223.5783909;0.0;0.0;6098424.882922633;0.0;0.0;134420838.55397993;0.0;0.0;5848527.230250859;0.0;0.0;21901213.413970232;-3098.990814549075;0.0;6135888.57269314;0.0;0.0;1203072.2255774837;0.0;0.0;48446402.35831728;0.0;0.0;12517897.971204102;-85546008.67479253;0.0;70488118.65315981;0.0;0.0;13952934.038180508;-128537208.52056059;0.0;68628699.80030113;0.0;0.0;16416778.376722615;-123987493.53732505;0.0;20337994.565836243;0.0;0.0;10682307.76271373;-29658608.860194735;0.0;6135888.57269314;0.0;0.0;35540023.71377417;0.0;0.0;5923454.609791875;0.0;0.0;155699350.3602893;0.0;0.0;6023497.503381616;0.0;0.0;252126729.50789157;0.0;0.0;255364198.79809564;0.0;0.0;1127310782.1444018;-367732418.5836875
131987618;5.083333333333334;1;services;Before 1930;131987618;Bd131987618;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;4636.064534505209;912.0126953125;12;5148.928509816667;487.8867496711045;194.78665726961563;-34.793041807794424;0.0;1178714.4356047343;0.0;0.0;77822942.39646396;0.0;0.0;1117706.7836838125;0.0;0.0;60689612.57529201;0.0;0.0;1239636.8836516093;0.0;0.0;37529906.543161884;0.0;0.0;1188839.775654531;0.0;0.0;5677295.585530164;-1682.943538161333;0.0;1247252.1896574688;0.0;0.0;244550.47543488748;0.0;0.0;12594521.646860367;0.0;0.0;2544533.765488561;-22543870.194611527;0.0;17628435.050069634;0.0;0.0;2836235.9135261294;-32321867.423203047;0.0;17231111.67463493;0.0;0.0;3337065.6156654237;-31462139.704207413;0.0;5474084.502218662;0.0;0.0;2171960.5256879902;-8754315.065921383;0.0;1247252.1896574688;0.0;0.0;9380264.826548353;0.0;0.0;1204070.3876662499;0.0;0.0;45325140.82506918;0.0;0.0;1224406.2716398905;0.0;0.0;74090865.41605505;0.0;0.0;62576031.79099936;0.0;0.0;321650374.4639236;-95083875.33148153
