,Gas consumption [Nm3],Electric consumption [Wh],Oil consumption [L],Wood consumption [kg]
2023-02-09 20:00:00,3830.5081363163554,1285541.6959804639,185.7363516557565,0.0
2023-02-09 21:00:00,3915.6610327204753,1293522.49281955,190.25105223105396,0.0
2023-02-09 22:00:00,3971.746166315085,1139791.9740826306,193.33817821909034,0.0
2023-02-09 23:00:00,3996.987031131682,1142310.3249100698,194.89682846965565,0.0
2023-02-10 00:00:00,4007.2722553416884,972403.1510767526,195.5563654048409,0.0
2023-02-10 01:00:00,4030.836847486393,974610.9045741283,196.92139967690522,0.0
2023-02-10 02:00:00,4053.8327001008015,976719.0657759565,198.2219159161531,0.0
2023-02-10 03:00:00,4076.3126527651125,978733.2149218001,199.46048858930263,0.0
2023-02-10 04:00:00,4141.112003992763,984689.6261780997,202.85558514374134,0.0
2023-02-10 05:00:00,4233.952020151258,993207.7061649404,207.6541361412095,0.0
2023-02-10 06:00:00,4361.94757904688,1096519.4043836694,213.99977067109725,0.0
2023-02-10 07:00:00,4321.400607283271,1215412.5515321426,212.2113647576987,0.0
2023-02-10 08:00:00,4159.223171862893,1199920.7436353501,204.16310485699282,0.0
2023-02-10 09:00:00,3928.713353949048,1055485.7391206897,192.50659030107346,0.0
2023-02-10 10:00:00,3773.1562290082165,979373.2209162917,184.39916567335527,0.0
2023-02-10 11:00:00,3635.381977569065,1027846.5220700264,177.08601156687007,0.0
2023-02-10 12:00:00,3545.8310018832262,1019738.0498141149,172.21101103578835,0.0
2023-02-10 13:00:00,3499.93212555718,1015453.3201510841,169.68715010109693,0.0
2023-02-10 14:00:00,3487.505385869546,1014201.7514195032,169.00314223964412,0.0
2023-02-10 15:00:00,3537.9955558730035,957707.1992377301,171.43814805758595,0.0
2023-02-10 16:00:00,3633.4973859310307,1059024.9818165486,176.25890445108516,0.0
2023-02-10 17:00:00,3739.8380449478723,1192014.231781727,181.73003169675226,0.0
2023-02-10 18:00:00,3848.1632399013697,1202768.6979801527,187.7423487360543,0.0
2023-02-10 19:00:00,3918.4438630266727,1270634.4289156324,191.43906191102394,0.0
2023-02-10 20:00:00,3988.660384956118,1277100.0870459445,195.05674251981827,0.0
2023-02-10 21:00:00,4053.209202213052,1282956.7424795753,198.3403490956839,0.0
2023-02-10 22:00:00,4129.4226876922485,1136934.1342927027,202.3721276325798,0.0
2023-02-10 23:00:00,4202.128030366663,1143853.0178245977,206.29793074103955,0.0
2023-02-11 00:00:00,4288.003514618964,986926.0909005932,210.82316011334353,0.0
2023-02-11 01:00:00,4339.304830027482,991781.3041531169,213.63678613807787,0.0
2023-02-11 02:00:00,4382.167450551897,995842.1345012747,216.0189496885698,0.0
2023-02-11 03:00:00,4416.582643613295,999072.1763094867,217.94253046797607,0.0
2023-02-11 04:00:00,4477.281867158787,1004669.7249308969,221.15397564136435,0.0
2023-02-11 05:00:00,4538.909496403637,1010332.7611259712,224.40337283366932,0.0
2023-02-11 06:00:00,4616.00043263598,1105443.0258962896,228.19979709138616,0.0
2023-02-11 07:00:00,4603.144421773127,1222129.0934005994,227.75825456748603,0.0
2023-02-11 08:00:00,4490.439979740149,1210988.28796935,222.13266160500444,0.0
2023-02-11 09:00:00,4334.972847230185,1078145.8663452012,214.2811845835577,0.0
2023-02-11 10:00:00,4153.724790556288,1002286.2665210244,205.01209020309332,0.0
2023-02-11 11:00:00,3955.304535199684,1043361.7791411385,194.86335727199622,0.0
2023-02-11 12:00:00,3771.9582318007087,1027163.3119826684,185.47193997147338,0.0
2023-02-11 13:00:00,3686.1224276573607,1019304.0934463592,181.01471780347856,0.0
2023-02-11 14:00:00,3648.391760086673,1015557.8217461552,179.07849084233013,0.0
2023-02-11 15:00:00,3696.4409829917963,961017.0517907128,181.32600764896648,0.0
2023-02-11 16:00:00,3767.8294823893566,1056197.4156788099,184.620091218376,0.0
2023-02-11 17:00:00,3856.550469915608,1182532.9678941667,188.87790713132918,0.0
2023-02-11 18:00:00,3928.85989943152,1189578.8504619135,192.76134567669095,0.0
2023-02-11 19:00:00,4010.604091121222,1255965.1967022337,196.86632465154253,0.0
2023-02-11 20:00:00,4118.021363570181,1265827.551352663,202.29213537657344,0.0
2023-02-11 21:00:00,4247.365606266911,1277737.3777226047,208.86075602560746,0.0
2023-02-11 22:00:00,4332.544389279471,1138383.010625393,213.2965153128347,0.0
2023-02-11 23:00:00,4406.8200098468615,1145335.2363058426,217.21339291437752,0.0
2023-02-12 00:00:00,4460.934287980035,1027094.2712212199,220.40268627518944,0.0
2023-02-12 01:00:00,4511.270878434959,1031832.1175680911,223.13320996086733,0.0
2023-02-12 02:00:00,4553.644638331365,1035788.2168734756,225.43640489776544,0.0
