,Zone volume [m3],Zone net floor area [m2],Number of units [-],Zone opaque heat transfer loss [W/K],Zone glazed heat transfer loss [W/K],Zone design heating load [kW],Zone design cooling load [kW],Name,January gas consumption [Nm3],January electric consumption [Wh],January oil consumption [L],January wood consumption [kg],February gas consumption [Nm3],February electric consumption [Wh],February oil consumption [L],February wood consumption [kg],March gas consumption [Nm3],March electric consumption [Wh],March oil consumption [L],March wood consumption [kg],April gas consumption [Nm3],April electric consumption [Wh],April oil consumption [L],April wood consumption [kg],May gas consumption [Nm3],May electric consumption [Wh],May oil consumption [L],May wood consumption [kg],June gas consumption [Nm3],June electric consumption [Wh],June oil consumption [L],June wood consumption [kg],July gas consumption [Nm3],July electric consumption [Wh],July oil consumption [L],July wood consumption [kg],August gas consumption [Nm3],August electric consumption [Wh],August oil consumption [L],August wood consumption [kg],September gas consumption [Nm3],September electric consumption [Wh],September oil consumption [L],September wood consumption [kg],October gas consumption [Nm3],October electric consumption [Wh],October oil consumption [L],October wood consumption [kg],November gas consumption [Nm3],November electric consumption [Wh],November oil consumption [L],November wood consumption [kg],December gas consumption [Nm3],December electric consumption [Wh],December oil consumption [L],December wood consumption [kg]
RLB-92171,1e-05,1e-05,1,101.59760695382465,20.723478116165207,3.975435348108004,-0.7664216997712011,Bd RLB-92171,241.74227790342212,303105.605177,0.0,0.0,115.77842364533883,273772.80467599997,0.0,0.0,8.469086383712641,303105.605177,0.0,0.0,8.195890048754169,293328.00501,0.0,0.0,8.469086383712641,303105.605177,0.0,0.0,8.195890048754169,335665.05560146034,0.0,0.0,8.469086383712641,410283.9334784592,0.0,0.0,8.469086383712641,360834.80177930836,0.0,0.0,8.195890048754169,295483.3018719456,0.0,0.0,8.469086383712641,303105.605177,0.0,0.0,91.92727589107548,293328.00501,0.0,0.0,223.00797039012178,303105.605177,0.0,0.0
RLB-67201,1475.2224609374998,447.037109375,1,600.6359791100157,275.99503604469015,40.78402850034044,-14.283808474438514,Bd RLB-67201,2464.6365697008723,573939.2209857323,0.0,0.0,1166.8144898517428,518396.7157290486,0.0,0.0,41.7126523863839,573939.2209857323,0.0,0.0,40.36708295456506,555425.0525668378,0.0,0.0,41.7126523863839,573939.2209857323,0.0,0.0,40.36708295456506,559286.5567142814,0.0,0.0,41.7126523863839,653336.6202208907,0.0,0.0,41.7126523863839,598798.731969439,0.0,0.0,40.36708295456506,555425.0525668378,0.0,0.0,41.7126523863839,573939.2209857323,0.0,0.0,1060.635447920221,555425.0525668378,0.0,0.0,2297.518048654794,573939.2209857323,0.0,0.0
RLB-67767,176.22531738281248,53.401611328125,1,288.59546084662287,93.40954521965914,13.883707008677604,-2.928072723418572,Bd RLB-67767,751.1669816748212,340533.6416459654,0.0,0.0,355.20888437190723,307578.77309958165,0.0,0.0,15.747671756478416,340533.6416459654,0.0,0.0,15.239682344979112,329548.68546383746,0.0,0.0,15.747671756478416,340533.6416459654,0.0,0.0,15.239682344979112,490520.1314896295,0.0,0.0,15.747671756478416,769410.3797527405,0.0,0.0,15.747671756478416,565209.6312222074,0.0,0.0,15.239682344979112,337465.9341278806,0.0,0.0,15.747671756478416,340533.6416459654,0.0,0.0,290.45331367421056,329548.68546383746,0.0,0.0,689.6068763771962,340533.6416459654,0.0,0.0
RLB-68933,1035.747216796875,313.86279296875,1,452.92982661528646,245.90337137903188,31.343305741455968,-11.667876104509082,Bd RLB-68933,1593.1894912251566,494599.50873795385,0.0,0.0,747.075684683768,446735.0401504099,0.0,0.0,35.63129657919806,494599.50873795385,0.0,0.0,34.48189991535296,478644.6858754392,0.0,0.0,35.63129657919806,494599.50873795385,0.0,0.0,34.48189991535296,490387.05254455406,0.0,0.0,35.63129657919806,634668.5527593595,0.0,0.0,35.63129657919806,557293.2316250771,0.0,0.0,34.48189991535296,478644.6858754392,0.0,0.0,35.63129657919806,494599.50873795385,0.0,0.0,725.8406400075443,478644.6858754392,0.0,0.0,1478.9878600460784,494599.50873795385,0.0,0.0
RLB-71165,934.39306640625,283.1494140625,1,1045.7714777802162,351.17622726854216,53.187409300803395,-8.869312133873589,Bd RLB-71165,2624.0335726462245,502752.17178945686,0.0,0.0,1260.8680436398645,454098.735809832,0.0,0.0,35.55116551395407,502752.17178945686,0.0,0.0,34.40435372318135,486534.3597962486,0.0,0.0,35.55116551395407,502752.17178945686,0.0,0.0,34.40435372318135,486534.3597962486,0.0,0.0,35.55116551395407,502752.17178945686,0.0,0.0,35.55116551395407,502752.17178945686,0.0,0.0,34.40435372318135,486534.3597962486,0.0,0.0,35.55116551395407,502752.17178945686,0.0,0.0,1183.698546644668,486534.3597962486,0.0,0.0,2511.174122576125,502752.17178945686,0.0,0.0
RLB-74313,5336.121752929687,1617.006591796875,1,888.7439868907537,612.1548123825702,62.11951535870725,-35.64908701121915,Bd RLB-74313,6670.459177485207,919583.2474534399,0.0,0.0,3218.0436061391674,924669.8070213278,0.0,0.0,62.0807171445007,1027599.2877854711,0.0,0.0,60.07811336564584,975286.7874754181,0.0,0.0,62.0807171445007,1041101.292826975,0.0,0.0,884.7504858145332,4372344.312248037,0.0,0.0,809.6490248634517,6490437.787339751,0.0,0.0,924.0084615805425,6983723.304594103,0.0,0.0,909.9568969734066,3726707.476694219,0.0,0.0,62.0807171445007,1041101.292826975,0.0,0.0,2805.8351241496894,1002290.7975584259,0.0,0.0,6212.2255235559105,1000595.2777024632,0.0,0.0
RLB-71082,2142.307470703125,649.18408203125,1,2354.1322459439752,781.76896129332,119.76935149107148,-24.264759690721267,Bd RLB-71082,5708.31120517379,765563.0275814268,0.0,0.0,2704.072323332043,691476.2829767726,0.0,0.0,35.42988323215798,765563.0275814268,0.0,0.0,34.28698377305611,740867.4460465421,0.0,0.0,35.42988323215798,765563.0275814268,0.0,0.0,34.28698377305611,740867.4460465421,0.0,0.0,35.42988323215798,765563.0275814268,0.0,0.0,35.42988323215798,765563.0275814268,0.0,0.0,34.28698377305611,740867.4460465421,0.0,0.0,35.42988323215798,765563.0275814268,0.0,0.0,2436.194074860689,740867.4460465421,0.0,0.0,5396.068667835355,765563.0275814268,0.0,0.0
RLB-65018,1131.321533203125,342.82470703125,1,1017.295138112638,360.1736111267881,54.195413793640725,-10.936067338817326,Bd RLB-65018,2689.5542845128957,534756.0048665318,0.0,0.0,1294.6944038075674,483005.4237504158,0.0,0.0,35.549002021431974,534756.0048665318,0.0,0.0,34.40226002074062,517505.81116115977,0.0,0.0,35.549002021431974,534756.0048665318,0.0,0.0,34.40226002074062,517505.81116115977,0.0,0.0,35.549002021431974,534756.0048665318,0.0,0.0,35.549002021431974,534756.0048665318,0.0,0.0,34.40226002074062,517505.81116115977,0.0,0.0,35.549002021431974,534756.0048665318,0.0,0.0,1202.8837526828586,517505.81116115977,0.0,0.0,2546.0700592928365,534756.0048665318,0.0,0.0
RLB-68903,1463.8786987669046,443.5996056869408,1,1053.844423909393,438.9108079237536,60.71353419096814,-13.816925458707217,Bd RLB-68903,3062.590127698466,594104.402632488,0.0,0.0,1463.589096643039,536610.4281841827,0.0,0.0,35.535018453041985,594104.402632488,0.0,0.0,34.38872753520192,574939.744483053,0.0,0.0,35.535018453041985,594104.402632488,0.0,0.0,34.38872753520192,574939.744483053,0.0,0.0,35.535018453041985,594104.402632488,0.0,0.0,35.535018453041985,594104.402632488,0.0,0.0,34.38872753520192,574939.744483053,0.0,0.0,35.535018453041985,594104.402632488,0.0,0.0,1365.4761440638183,574939.744483053,0.0,0.0,2899.0114955591634,594104.402632488,0.0,0.0
RLB-67571,1934.251171875,586.13671875,1,1334.2231468111777,347.02383031919936,70.75928652236225,-19.62768668886121,Bd RLB-67571,3422.853651818141,678957.4448723786,0.0,0.0,1613.251263711651,613251.8856911806,0.0,0.0,35.51348845347814,678957.4448723786,0.0,0.0,34.36789205175304,657055.5918119792,0.0,0.0,35.51348845347814,678957.4448723786,0.0,0.0,34.36789205175304,1323884.672352526,0.0,0.0,35.51348845347814,2569733.684334895,0.0,0.0,35.51348845347814,1512480.9432277943,0.0,0.0,34.36789205175304,657055.5918119792,0.0,0.0,35.51348845347814,678957.4448723786,0.0,0.0,1347.1765665175585,657055.5918119792,0.0,0.0,3139.2463677783608,678957.4448723786,0.0,0.0
