,1,18,19,20_p1,20_p2,21
22,55.18456293986078,74.31103342252635,73.9284888462581,55.184904127285094,55.18356705722319,57.49205601638864
23,53.87742225772243,73.73407579890655,73.33876135488258,53.87773260461554,53.87651639469322,55.70168733096082
24,52.719809613605605,73.2141817746379,72.805732889018,52.72009188793497,52.71898569083356,54.09114987934096
25,51.69268930209072,72.75397975868427,72.33065638865511,51.692946027494834,51.691939953391056,52.63752826256345
26,50.78448047696734,72.34283736448424,71.90400649297636,50.78471395291901,50.78379899046761,51.325174495931556
27,49.98463288988142,71.99066469108638,71.53458171672578,49.984845211131365,49.98401315126767,50.14204711153298
28,60.84243508385821,71.68683533136185,71.21307980130624,60.572241661446334,60.721325655971725,59.923707312901634
29,62.51812021335961,71.4357191849155,70.94624616228475,62.144210032810356,62.30687316790724,61.42463640915465
30,62.363020554683935,71.23033454075896,70.7253744487207,61.94641329724612,62.113866798274245,61.1808932426544
31,61.92209293009461,71.04037983385531,70.52003009228223,61.47782037385551,61.65206222885736,60.64647352021909
32,47.06401805840728,70.86637756455633,70.33067130249216,47.06415004539606,47.06363280527109,49.15364125772424
33,46.590112569026026,70.67531782170275,70.12456855897811,46.590232578707806,46.58976227612065,46.63369414871574
34,46.142530853818435,70.4820046111342,69.91642678311335,46.14263997174544,46.142212352554836,46.14579925240973
35,45.71222828755272,70.27671755336377,69.69657150860793,45.71232750142979,45.71193869494589,45.7152000313046
36,45.29796304446256,70.06249190034029,69.46801407513202,45.29805325255107,45.29769973860187,45.300665038857325
37,44.91673123086215,69.8641996639827,69.25547141660155,44.916813249366285,44.9164918293515,44.91918792354212
38,44.56656336084684,69.6812618276481,69.05836899964018,44.56663793218109,44.56634569667288,44.568796989247595
39,44.24631607764673,69.51960237941651,68.88251051057932,44.24638387705782,44.24611817985046,44.24834686734055
40,47.50025325779049,69.37826263550167,68.72692135985893,47.500314797618216,47.50007363091723,47.50209655482156
41,50.4606309745937,69.27150677836053,68.60571098723234,50.46068684034378,50.46046790962705,50.462304316541065
42,52.90636372860923,69.19767974090608,68.51721544300392,52.906414455583274,52.90621566307212,52.90788314929779
43,55.08896747176819,69.09743545238008,68.40249024245,55.089013538286395,55.08883300950511,55.09034729826685
44,56.47583692180548,68.9722664638546,68.26299307059814,56.47587877158011,56.475714767677,56.4770904445783
45,57.677697786771795,68.80576519610855,68.08237643370508,57.67773580906712,57.67758680456531,57.678836665408326
46,67.80549902811097,68.60054118081669,67.86321763408347,67.24384679396297,67.48893707689909,65.61151193260308
47,70.37513113876346,68.34241457661386,67.5913905325032,69.63748746982446,69.9260822703115,67.67861635229298
48,71.54389776016342,68.03505096372136,67.2705246136574,70.72694610956363,71.0306895844415,68.63706358236189
49,72.2069783369004,67.73053145446974,66.95246416899661,71.33539557847347,71.65292914666087,69.12616373862788
50,72.73413616506555,67.42913086707549,66.63753474086707,71.8135477952251,72.14544069161762,69.48125126992606
51,73.17390282974297,67.12421393373799,66.31923336410568,72.20661813124335,72.55331985428406,69.74798354121873
52,73.58763551479845,66.83633072548146,66.0178925492644,72.57407847326225,72.93562991444188,69.98857011218558
53,74.01047529163338,66.58336720552307,65.75128967244991,72.95044951196216,73.32680011305678,70.23820654013473
54,74.43277428583292,66.35922312094644,65.51340049790804,73.32630341516601,73.717415509558,70.48743613439996
55,74.81534513065897,66.13682740605272,65.27732691655427,73.66289852721812,74.06864105187984,70.69821547500361
56,75.16025021952927,65.91561574111793,65.0424858153764,73.96231239648522,74.38258676117903,70.87241282193658
57,75.47025202986936,65.69530603906313,64.80859425102653,74.2273172879742,74.6620385201792,71.01272653786269
58,75.7482259590472,65.47577112127195,64.57552605791166,74.46078757262703,74.90987792726965,71.12200147213457
59,76.00761838329335,65.26138775221256,64.34760005541766,74.67584418322191,75.13918373287558,71.21360849802355
60,76.01739801401736,65.05713419762563,64.12972555700628,74.64805164362221,75.12640378620144,71.05833111147156
61,76.15154803378718,64.86911267794785,63.928063913417574,74.74143648732846,75.2342960567563,71.02679682852913
62,76.63790097601724,64.70207694432519,63.74731769505647,75.183310653013,75.69528315189652,71.31108400070787
63,77.28387777814439,64.51185807923558,63.544284176322606,75.7753390370609,76.30149096528206,71.77630238986453
64,59.960046294915415,64.33381737524086,63.35383004444303,59.960051982995836,59.960029692138384,59.96021666954966
65,59.05778667765513,64.13818492443664,63.14876804571493,59.05779141935995,59.05777283722705,59.0579287055751
66,57.0421516527438,63.95231856250735,62.95521850498365,57.042155967268684,57.042139059199236,57.04228088537568
67,55.302130100548965,63.83481187159698,62.83301239412323,55.30213402587126,55.302118643036835,55.30224767542595
