,1,18,19,20_p1,20_p2,21
73,93.80670446169353,0.0,0.0,290.16788453106255,94.22378385759924,858.4968532449901
74,91.48813945539784,0.0,0.0,282.34679079488035,91.70372034578433,832.0734199020062
75,89.41617288102431,0.0,0.0,275.4470120200424,89.49892884011194,807.1731665094644
76,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0
80,111.53743311441795,0.0,0.0,341.80201857319986,111.06280791509292,989.4800475688381
81,89.94137640603562,0.0,0.0,276.02608055520477,89.93658988990506,781.1068398806043
82,88.16251106843848,0.0,0.0,270.3510346094994,88.11316576430073,761.6627482967386
83,86.50126962423907,0.0,0.0,265.02033334085974,86.39488206391083,743.8660910635163
84,84.96517539103213,0.0,0.0,260.0886038219351,84.8067049621545,727.2479615060016
85,83.45679504982003,0.0,0.0,255.23277483540565,83.2454887130534,710.6596829971131
86,82.00083280853671,0.0,0.0,250.53744025107147,81.73743462450778,694.4765679765335
87,80.60537736441114,0.0,0.0,246.03078581300215,80.29120054017112,678.829599855992
88,66.93014812924119,0.0,0.0,199.8246210710106,65.87483903127291,482.6012027036324
89,65.55801177767083,0.0,0.0,195.36784313323815,64.45010617182055,466.62376054759415
90,65.31384232648648,0.0,0.0,194.72666247216262,64.21489719581336,466.92591157677214
91,63.73081308520364,0.0,0.0,189.52490967683565,62.56392790188815,447.22776260615603
92,65.0213404353538,0.0,0.0,194.06316479659034,63.94626035790029,469.36410317640656
93,64.10753179683897,0.0,0.0,191.09966996199404,62.99822021057527,458.7382994455425
94,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0
112,116.4412519675392,0.0,0.0,346.64790532678927,114.01888835353334,826.8756670261678
113,95.1187007082575,0.0,0.0,283.97800473917226,93.56790443465626,671.648959958992
114,94.63519922733761,0.0,0.0,282.8473586813244,93.13094608228944,675.2922675875956
115,92.93921410008416,0.0,0.0,277.5442770950065,91.39690054988442,660.7616275856747
116,91.30241001975885,0.0,0.0,272.40633056046767,89.71472330139962,646.8671467461046
117,89.75785513136547,0.0,0.0,267.57688426014454,88.13645001461275,633.5626939189834
118,88.26561435778147,0.0,0.0,262.9011037496603,86.60744685834868,620.7549084425671
119,86.87951760153229,0.0,0.0,258.5855866124993,85.20058661781228,608.5756125954157
120,85.56528597689362,0.0,0.0,254.4837885569858,83.86231766025745,597.1028754689386
