;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];Name;February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg]
RLB-64626;667.384716796875;202.23779296875;3;338.5220337262355;200.12967456154706;23.06771982599356;-8.76777774900304;Bd RLB-64626;484.9140924209813;845117.7935239091;0.0;0.0;47.03821160710773;1007640.4461246607;0.0;0.0;45.959614691495595;975135.9156045103;0.0;0.0;47.548938385345956;1007640.4461246607;0.0;0.0;46.07654108448009;996026.4983480194;0.0;0.0;47.08463736177667;1156646.9582298605;0.0;0.0;48.179771578263185;1065746.631194338;0.0;0.0;46.35973341475107;975135.9156045103;0.0;0.0;47.75140683901534;1007640.4461246607;0.0;0.0;442.1724287135334;876941.9287891798;0.0;0.0;1303.0853760967505;9913672.979668308;0.0;0.0
RLB-74800;3268.98193359375;990.6005859375;13;2298.030287907974;743.2879477613324;126.08435877253372;-33.07015194923545;Bd RLB-74800;2989.256182597164;1851394.4174275226;0.0;0.0;241.19659398296804;2207431.805394354;0.0;0.0;231.42981126248054;2136224.3278009873;0.0;0.0;240.73700759550195;2207431.805394354;0.0;0.0;234.65198356570446;2136224.3278009873;0.0;0.0;246.1549275551175;2207431.805394354;0.0;0.0;240.12462875314552;2207431.805394354;0.0;0.0;234.54676626499446;2136224.3278009873;0.0;0.0;240.34494783981467;2207431.805394354;0.0;0.0;2581.485708203576;1921110.0829205068;0.0;0.0;7479.928557620467;21218336.51072276;0.0;0.0
RLB-67575;3196.9201171874997;968.763671875;13;2255.142319993129;491.06291606555743;115.89267114846982;-33.65566360772311;Bd RLB-67575;2674.7996248968075;2361677.603584576;0.0;0.0;239.16927996687542;2815846.373504686;0.0;0.0;230.61633554542195;2725012.619520664;0.0;0.0;235.9512842731957;2815846.373504686;0.0;0.0;229.2059689367599;3118992.748140712;0.0;0.0;240.46524521165867;4062643.5160286166;0.0;0.0;237.13110141904818;3294001.034502252;0.0;0.0;230.14942851651128;2725012.619520664;0.0;0.0;237.8322848291155;2815846.373504686;0.0;0.0;2132.1868752678993;2450607.7526638745;0.0;0.0;6687.507428863293;29185487.014475416;0.0;0.0
RLB-64875;3562.5755859375;1079.568359375;14;2074.5303651861823;682.0948287602375;119.27844868607114;-36.38025230797279;Bd RLB-64875;2843.1034809276034;2656851.5228288206;0.0;0.0;262.47418943880285;3167784.507988209;0.0;0.0;255.32500435313128;3065597.9109563315;0.0;0.0;261.10681373702795;3167784.507988209;0.0;0.0;254.5093146480155;3065597.9109563315;0.0;0.0;261.39955279616356;3192095.263811939;0.0;0.0;263.5857742201531;3167784.507988209;0.0;0.0;255.25080839017795;3065597.9109563315;0.0;0.0;263.4146035180353;3167784.507988209;0.0;0.0;2369.1890369450384;2756896.3609443093;0.0;0.0;7289.35857897415;30473774.9124069;0.0;0.0
RLB-68722;2210.050927734375;669.71240234375;9;1548.0565581424605;333.59927320394155;79.57090558321119;-22.673455383611284;Bd RLB-68722;1859.2052241673389;1849892.6404951108;0.0;0.0;164.54546126030934;2205641.2252057088;0.0;0.0;159.13260816658968;2134491.5082635893;0.0;0.0;166.50683328489174;2205641.2252057088;0.0;0.0;159.05720730140038;2273351.341756933;0.0;0.0;164.83658313779645;2716513.2039957787;0.0;0.0;165.77328825399636;2416190.5354191116;0.0;0.0;159.94681584116464;2134491.5082635893;0.0;0.0;164.58627600025284;2205641.2252057088;0.0;0.0;1491.7733463301142;1919551.5163997742;0.0;0.0;4655.3636437438545;22061405.930211015;0.0;0.0
RLB-71863;139.9212890625;42.400390625;1;88.29953575457785;57.429721302596164;5.902211596545655;-1.7049330582489852;Bd RLB-71863;129.5677802765144;423496.9245175568;0.0;0.0;10.463734866536047;504938.64077093307;0.0;0.0;9.756562226517545;488650.29752025777;0.0;0.0;10.332032456609696;504938.64077093307;0.0;0.0;9.926135704264974;488650.29752025777;0.0;0.0;10.407578371738216;504938.64077093307;0.0;0.0;10.080545520153754;504938.64077093307;0.0;0.0;9.801194031266684;488650.29752025777;0.0;0.0;10.103260863165909;504938.64077093307;0.0;0.0;126.55033066211962;439444.9834177744;0.0;0.0;336.98915497888686;4853586.00435077;0.0;0.0
RLB-71628;1010.84736328125;306.3173828125;4;201.9452632985939;121.07034946053612;18.921735442015475;-9.80848881639114;Bd RLB-71628;448.90563593452976;1025285.501324917;0.0;0.0;69.01444075082841;1222455.7900412471;0.0;0.0;66.16617851341474;1183021.7322979812;0.0;0.0;70.10291245647502;1222455.7900412471;0.0;0.0;68.29510158932628;1267186.2284687427;0.0;0.0;68.66797473502317;1523425.6307208613;0.0;0.0;69.07537057574409;1338684.126399741;0.0;0.0;66.37484183514287;1183021.7322979812;0.0;0.0;68.80780434250852;1222455.7900412471;0.0;0.0;376.6032356753587;1063893.7676615706;0.0;0.0;1372.0134964083516;12251886.089295536;0.0;0.0
RLB-79376;1609.3123535156249;487.67041015625;6;634.2749923563366;320.04002310530603;44.42617428180026;-18.348662006011384;Bd RLB-79376;996.815896816064;979565.4888104147;0.0;0.0;108.41390745260301;1167943.4674278023;0.0;0.0;106.69945088889634;1130267.8717043246;0.0;0.0;107.2532887232377;1167943.4674278023;0.0;0.0;104.48541748077938;1238950.4394920242;0.0;0.0;108.21403553231823;1693939.332120526;0.0;0.0;107.65672722541507;1348154.7987875803;0.0;0.0;104.41582928209048;1130267.8717043246;0.0;0.0;106.70108416210839;1167943.4674278023;0.0;0.0;894.123097137646;1016452.3159198959;0.0;0.0;2744.778734701159;12041428.520822497;0.0;0.0
RLB-75431;1728.3065185546875;523.729248046875;7;1163.8354772066953;365.5161998951975;64.10648382710058;-20.129998623700892;Bd RLB-75431;1414.8990578232192;2770995.608036892;0.0;0.0;129.68295543972317;3303879.3788132174;0.0;0.0;124.51524691771756;3197302.624657952;0.0;0.0;128.5409671029152;3303879.3788132174;0.0;0.0;124.5691756232777;3199456.317500878;0.0;0.0;130.00557563169414;3390492.370199543;0.0;0.0;128.42552728779907;3321446.9411992813;0.0;0.0;125.93232930560079;3197302.624657952;0.0;0.0;128.7060480470313;3303879.3788132174;0.0;0.0;1170.8766106055537;2875338.216572103;0.0;0.0;3606.1534937845317;31863972.83926425;0.0;0.0
RLB-69575;106.26547851562499;32.20166015625;1;109.93849043508324;67.6622800585778;6.65757069534086;-1.7548617066915388;Bd RLB-69575;153.06155108967252;368530.6797328414;0.0;0.0;7.770278539449205;439401.9642968493;0.0;0.0;8.079015301445086;425227.7073840478;0.0;0.0;7.725436299176419;439401.9642968493;0.0;0.0;7.696517812658179;425227.7073840478;0.0;0.0;7.8458873379105825;439401.9642968493;0.0;0.0;8.185363958577883;439401.9642968493;0.0;0.0;7.661244627565964;425227.7073840478;0.0;0.0;8.213280505966138;439401.9642968493;0.0;0.0;133.6683758587198;382409.00766567036;0.0;0.0;349.9069513311418;4223632.631034902;0.0;0.0
